"name_des_begunstigten","bezeichnung_des_vorhabens","jahr_der_bewilligung","gewahrte_betrage","bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage"
"NL Süd - LBB","E1  L 164 n von HALLE-NEUSTADT - L 173, 2.TA , 1. BA-
Strecke                                             Genehmigung einer
Ausnahme vom Verbot des vorzeitigen Maßnahmebeginns -
MLV vom 21. März 2007",2007,1871373.2,
"Stadt Halle (Saale)","Ausbau Delitzscher Straße in Halle",2008,1876240,
"NL Süd - LBB","L 73  BRÜCKE NIENBURG, BW 0010
Genehmigung einer Ausnahme vom Verbot des vorzeitigen
Maßnahmebeginns - MLV vom 21.März 2007",2007,1891000,
"NL Süd - LBB","L 203 BW 0010 SAALEBRÜCKE SAALECK",2008,2080000,
"NL Mitte - LBB","L 65 CALBE - GÄRTNEREI",2008,2100000,
"NL Ost - LBB","L 126 Wittenberg - Zahna, freie Strecke",2007,2230000,
"MF, EU-PB","EU-Prüfstelle - EFRE: ""Personal- und Sachkosten""
(Hauptprojekt: EFRE16.01.3.08.00003)",2008,2550990,
"Investitionsbank Sachsen-Anhalt","Verbesserung des Gründungsklimas im Land",2008,3000000,
"NL Mitte - LBB","L 51 BRÜCKE ÜBER DIE GLEISE DER DBAG IN
SCHÖNEBECK-FROHSE",2008,3800000,
"MF Ref. EU-VB","""Datenadministration, - validierung und
Fördermittelcontrolling für OP EFRE und ESF LSA - FP 2007
-2013""",2007,4764200,
"Investitionsbank Sachsen-Anhalt","Stärkung der Wettbewerbsfähigkeit von Unternehmen",2008,5245079,
"NL Süd - LBB","E 4  L 164 n von HALLE-NEUSTADT - L 173, 2. TA , BW 2
GWW            Genehmigung einer Ausnahme vom Verbot des
vorzeitigen Maßnahmebeginns -MLV vom 21. März 2007",2007,5800000,
"Investitionsbank Sachsen-Anhalt","Verbesserung des Gründungsklimas im Land",2008,7000000,
"NL West  - LBB","L 92 OU Neinstedt    Ausnahme vom Verbot des vorzeitigen
Maßnahmebeginns - MLV 21.03.2007",2007,7617763.2,
"NL West - LBB","L 66 OU QUEDLINBURG, TA 1",2008,8453000,
"Investitionsbank Sachsen-Anhalt","Stärkung der Wettbewerbsfähigkeit von Unternehmen",2008,12238519,
"Fraunhofer Gesellschaft","Errichtung, Bau und Erstausstattung des Fraunhofer Center
for Silicon Photovoltaic",2008,12800000,
"MW_Investitionsbank","Kostenerstattung an die IB lt. Vertrag - Süd",2008,14508880,
"IBG Beteiligungsgesellschaft Sachsen
-Anhalt mbH","IBG Risikokapitalfonds II Süd",2007,19127676.8,
"MW_Investitionsbank","Kostenerstattung an die IB lt. Vertrag",2008,33854053,
"IBG Beteiligungsgesellschaft Sachsen
-Anhalt mbH","IBG Risikokapitalfonds II",2007,44631248,
"Investitionsbank Sachsen-Anhalt","Stärkung der Wettbewerbsfähigkeit von Unternehmen",2008,47205718,
"Investitionsbank Sachsen-Anhalt","Stärkung der Wettbewerbsfähigkeit von Unternehmen",2008,110146674,
