name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung, gewahrte_betrage ,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Schwerin",Kosten für Leistungen von Architekten und Ingenieuren,2007,"21,876,181.84",
"Land Mecklenburg-Vorpommern, vertreten durch 
Straßenbauamt Schwerin","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2007,"15,314,749.30",
Nordex Energy GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Windkraftanlagen einschließlich der Rotorblattfertigung in 18147 
Rostock, Große Rampe 3",2007,"15,064,100.00",
Landeshauptstadt Schwerin ,"Schlosspromenade Schwerin, Teilbereich 1 ""Grüne"" und 
""Platzartige Promenade""",2007,"14,807,444.83",
Hansestadt Rostock ,"Maritimes Gewerbegebiet im Seehafen Rostock, 3. Bauabschnitt",2008,"13,225,093.00",
Gemeinde Ostseebad Boltenhagen,"Erschließung Marina Boltenhagen (Lose 10, 12 und 23)",2007,"12,808,145.10",
"Kur- und Strandhotel Usedom GmbH & Co. 
Investitions - KG","Errichtung einer Betriebsstätte des Frendenverkehrs (Grandhotel 
mit Villa Meeresstrand, Mare Balticum und Seepavillon) in 17429 
Seebad Heringsdorf / OT Bansin, Strandpromenade 20, 21 und 23,
Tourismusverband M-V e.V.,Werbliche Maßnahmen des Tourismusverbandes M-V e.V.,2008,"4,485,100.00"
Gemeinde Ostseebad Boltenhagen,"Erschließungsstr. In den B-Plangebieten Nr. 14 und Nr. 19 in 
Boltenhagen und Nr. 16 in Klütz",2007,"4,242,865.00"
buw customer care operations Schwerin GmbH,"Errichtung einer Betriebsstätte zu Erbringung von telefonischen 
Dienstleistungen (Call Center) in Schwerin, kreisfreie 
Landeshauptstadt (B-Fördergebiet)",2007,"4,187,300.00"
SternMaid GmbH & Co. KG ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Mehlbehandlungsmitteln und Back-Premixen in 18243 Wittenburg, 
Am Mühlenberg 4, Landkreis Ludwigslust",2008,"4,132,000.00"
Stadt Waren ,Erschließungsstraße Gewerbegebiet Nord/West in Waren,2008,"4,069,057.00"
arvato direct services Stralsund GmbH ,"Errichtung einer Betriebsstätte zur Erbringung von 
Marketingdienstleistungen aller Art (Call Center) in 18435 
Stralsund, Zur Schwedenschanze 2 und Große Parower Str. 133, 
kreisfreie Stadt Stralsund",2007,"4,012,800.00"
BioCon Valley GmbH,Koordinierung von Massnahmen der Gesundheitswirtschaft,2007,"4,000,468.00"
HanseYachts AG ,"Erweiterung einer Betriebsstätte zur Herstellung und Reparatur 
von Booten und Yachten in 17489 Hansestadt Greifswald, 
Salinenstraße 22, kreisfreie Hansestadt Greifswald",2007,"3,828,000.00"
Centrosolar Sonnenstromfabrik GmbH,"Erweiterung einer Betriebsstätte zur Herstellung von 
Photovoltaikmodulen in 23966 Wismar, An der Westtangente 1, 
Hansestadt Wismar",2008,"3,818,500.00"
Stadt Sassnitz ,"Erweiterung des Fährhafen Sassnitz, 2. Bauabschnitt",2008,"3,729,602.00"
Fertigungstechnik NORD GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Antriebstechnik in 19205 Gadebusch, Trittauer Str. 5, Landkreis 
Nordwestmecklenburg",2007,"3,674,100.00"
Darguner Brauerei GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Getränken in 
17159 Dargun, Brauereistraße 3, Landkreis Demmin",2008,"3,637,500.00"
"Überregionales Ausbildungdzentrum 
Waren/Grevesmühlen e.V.","Errichtung oder Ausbau von Einrichtungen der beruflichen 
Ausbildung, Fortbildung und Umschulung - Modernisierung des 
Internates des ÜAZ in Waren",2008,"3,530,181.37"
buw customer care operations Schwerin GmbH,"Erweiterung einer Betriebsstätte zur Erbringung von telefonischen 
Dienstleistungen in 19059 Schwerin, Hopfenbruchweg 6, kreisfreie 
Stadt Schwerin",2008,"3,352,000.00"
"Brüggen-Komponenten-GmbH (Betriebsgesell.) 
Bernhard Brüggen (Besitzgesell.)","Erweiterung einer Betriebsstätte zur Herstellung von Aufbauten 
und Anhängern für Fahrzeuge in 19249 Lübtheen, Geschwister-
Scholl-Straße 15, Landkreis Ludwigslust",2007,"3,332,900.00"
twenty4help Knowledge Service GmbH ,"Errichtung einer Betriebsstätte zur Erbringung von telefonischen 
Dienstleistungen (Call Center) in 17036 Neubrandenburg, 
Gneisstraße 10, kreisfreie Stadt Neubrandenburg",2007,"3,253,200.00"
Golfanlage Warnemünde GmbH & Co. KG ,"Errichtung einer Betriebsstätte des Fremdenverkehrs 
(Golfplatzanlage) in 18119 Diedrichshagen, Stolteraer Weg , 
kreisfreie Stadt Rostock",2007,"3,067,700.00"
Tourismusverband M-V e.V.,Werbliche Maßnahmen des Tourismusverbandes M-V e.V.,2007,"3,022,308.00"
"Seepark GmbH & Co. KG (Besitzgesell.) Nymphe 
Strandhotel & Apartments GmbH & Co. KG 
(Betriebsgesell.)","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Aparthotel 
""Nymphe"") in 18609 Ostseebad Binz, Strandpromenade 47/48, 
Landkreis Rügen",2008,"2,788,700.00"
"All by phone + net Dialogmarketing und 
Consulting GmbH","Errichtung einer Betriebsstätte zum Betreiben eines Call Centers in
17491 Greifswald, Koitenhäger Landstraße 22, Landkreis 
Ostvorpommern",2007,"2,645,100.00"
optimal media production GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Tonträgern in 
17207 Röbel, Glienholzweg 7, Landkreis Müritz (A-Fördergebiet)",2007,"2,640,000.00"
PETRALITHE GmbH ,"Errichtung einer Betriebsstätte zur Herstellung von Feinsteinzeug 
in 19258 Gallin, Neuer Galliner Ring 13, Landkreis Ludwigslust",2008,"2,623,500.00"
R. Kossow & Levermann GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Fertighauselementen unter anderem um das Hotel Recknitztal in 
18337 Marlow, Carl Kossow Straße 46 sowie 35 - 37, Landkreis 
Nordvorpommern",2008,"2,580,400.00"
Franziska Stolle GmbH & Co. Brenz KG ,"Erweiterung einer Betriebsstätte der Geflügelverarbeitung in 19306 
Brenz, Am Brenzer Kanal 2, Landkreis Ludwigslust",2008,"2,470,600.00"
adm Rostock GmbH ,"Erweiterung einer Betriebsstätte zur Erbringung von Call Center-
Dienstleistungen in 18055 Rostock, Herweghstraße 20,",2007,"2,454,900.00"
Landeshauptstadt Schwerin ,"Innere Erschließung des Industrie- und Gewerbegebietes 
""Göhrener Tannen"", 2. und 3. Bauabschnitt",2008,"2,429,793.00"
German Pellets GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Holzpellets in 
23970 Wismar, Haffburg 8 a, Hansestadt Wismar",2007,"2,265,900.00"
Hansestadt Rostock ,"Verkehrstechnische Erschließung des Gewerbegebietes Osthafen -
südlicher Teil in Rostock",2007,"2,249,067.00"
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Stralsund",Kosten für Leistungen von Architekten und Ingenieuren,2008,"2,230,634.12"
Strandhotel Fischland GmbH & Co. KG ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs 
(Strandhotel Fischland) in 18347 Ostseebad Dierhagen, Ernst-
Moritz-Arndt-Straße 6, Landkreis Nordvorpommern",2008,"2,185,000.00"
"Maritime Freight Forwarders GmbH 
(Leasingnehmer) CARNUNTUM 
Immobilienleasing GmbH (Leasinggeber)","Erweiterung einer Betriebsstätte zur Durchführung von logistischen 
Dienstleistungen in 19258 Gallin, Neu Galliner Ring 14-16, 
Landkreis Ludwigslust",2008,"2,161,300.00"
KDW Greifswald GmbH ,"Errichtung einer Betriebsstätte zur Betreibung eines Call-Centers 
in 17493 Greifswald, Rigaer Str. 9, kreisfreie Stadt Greifswald",2007,"2,132,500.00"
Cortronik GmbH,"“Neuartige Stents für innovative Anwendungen 
–Technologieentwicklungen und präklinische Tests “ ",2007,"2,089,660.00"
SNT Deutschland AG ,"Erweiterung einer Betriebsstätte zur Erbringung von telefonischen 
Dienstleistungen (Call Center) in 17033 Neubrandenburg, 
Woldegker Straße 12, kreisfreie Stadt",2007,"2,001,800.00"
BUFA Buller Fahrzeugbau GmbH ,"Errichtung einer Betriebsstätte zur Herstellung von Karosserien 
sowie Aufbauten und Nutzfahrzeugreparatur bzw. Service in 19246
Valluhn, Güststraße 6, Landkreis Ludwigslust",2008,"2,000,100.00"
"FOLIENPRINT RAKO GmbH TELOM 
Grundstücks- und Vermietungs GmbH & Co. 
Objekt EINS KG","Errichtung einer Betriebsstätte zur Bedruckung von Folien und 
Papier aller Art in 19258 Gallin, Neu-Galliner-Ring 26, Landkreis 
Ludwigslust",2007,"1,951,300.00"
"arvato direct services telco Neubrandenburg 
GmbH","Errichtung einer Betriebsstätte zur Erbringung von Call Center - 
Geschäften in 17033 Neubrandenburg, Nonnenhofer Str. 24-26, 
kreisfreie Stadt Neubrandenburg",2007,"1,950,000.00"
"Zweckverband Wasserversorgung und 
Abwasserbeseitigungsanlagen Grevesmühlen","Innere Erschließung des Sondergebietes Marina Boltenhagen 
(Trinkwasser, Schmutzwasser) und Trinkwasserspeicher Klütz)",2007,"1,930,222.32"
Cargill Deutschland GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von und zum 
Handel mitPektin, Zitronensaftkonzentraten und 
Futtermittelzusätzen in 17139 Malchin, An der Mühlentorweide 1, 
Landkreis Demmin",2007,"1,833,600.00"
Hansestadt Wismar ,"nachhaltiger Umbau des Theaters zum umweltgeschten 
Veranstaltungs- und Tagungszentrum der Hansestadt Wismar 
einschließlich einer dachintegrierten PV-Anlage",2008,"1,823,420.50"
IKEA Call Center Service GmbH ,"Errichtung einer Betriebsstätte zur Erbringung von 
telekommunikativen Dienstleistungen in 18069 Rostock, 
Schutower Ringstr. 1, kreisfreie Hansestadt Rostock",2007,"1,727,500.00"
"Prof. Dr. N. u. D. Roewer & Dr. M. u. B. Schmans 
in Vineta Roewer-Schmans Vermö.-verw. GbR 
Rugia Touristik GmbH","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotelpark 
Ambiance) in 18586 Ostseebad Sellin, Wilhelmstr. 34, Landkreis 
Rügen (Tourismusschwerpunktraum)",2007,"1,694,300.00"
Liebherr-MCCtec Rostock GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Kranen und 
Maschinen für Einsätze im Bereich der Hebe- und Fördertechnik 
sowie des Güterumschlags in 18147 Rostock, Liebherrstraße 1, 
kreisfreie Hansestadt Rostock",2007,"1,690,700.00"
SEETEL Verwaltungsgesellschaft mbH & Co. KG,"Erweiterung einer Betriebssta_tte des Fremdenverkehrs (Hotel 2007 Ahlecker Hof) in 17419 Seebad Heringsdorf/ OT Ahlbeck, Du_nenestraße 47sowie Seestraße 16, Landkreis Ostvorpommern",2007,"1,681,500.00"
RMT Maschinenbau GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Maschinenbauteilen in 18059 Rostock, Erich-Schlesinger-Str. 50, 
Hansestadt Rostock",2007,"1,645,400.00"
"ANTEX Immobilien GmbH (Besitzgesell.) ANTEX 
GmbH (Betriebsgesell.)","Erweiterung einer Betriebsstätte zur Herstellung von Bettwaren in 
17389 Anklam, Conrag-Zuse-Straße 7, Landkreis Ostvorpommern",2007,"1,642,100.00"
Georg Brandl ,"Errichtung einer Betriebsstätte des Fremdenverkehrs 
(behindertengerechte Ferienwohnungen) in 18574 Grabow, 
Dorfstraße 2, Landkreis Rügen",2007,"1,637,400.00"
"B.Schulz, D.Rochow, M.Heuer & G.Marthiens in 
Besitzges. Jugenddorf Stralsund GbR 
Betriebsgesellschaft Younior Hotel Stralsund 
GmbH","Errichtung einer Betriebsstätte des Fremdenverkehrs (Jugenddorf) 
in 18439 Hansestadt Stralsund, Tribseer Damm 78 sowie 
Bahnhofstr. / Karl-Marx-Str., Hansestadt Stralsund",2008,"1,600,000.00"
"Land Mecklenburg-Vorpommern vertreten durch 
das Verkehrsministerium ",B96 Planungsleistungen,2008,"1,575,000.00"
"Planungsverband Transportgewerbegebiet 
Valluhn/Gallin","Anbindung Mega-Park Valluhn/Gallin an BAB 24, 1. Bauabschnitt 
(Richtungsfahrbahn Hamburg-Berlin)",2008,"1,527,621.00"
Stadt Boizenburg/Elbe,"Schmutzwasserkanalisation in Boizenburg, 22. bis 24. BA; 22. BA: 
Schwartower Str. 2. Teil, Galliner Str., 23. BA: Bahnhofstr. 2. Teil, 
24. BA: Feldstr., Weidenstr., Lindenstr. und Kurze Str.",2007,"1,515,900.00"
Land Mecklenburg-Vorpommern ,M-V Marketing,2007,"1,501,362.47"
"Abwasserzweckverband Hagenow und 
Umlandgemeinden","Schmutzwasserkanalisation in Hagenow, 1. bis 3. BA; 1. BA: 
Möllner Str., 2. BA: Th.-Fontane-Str., Schillerstr., Goethestr./H.-
Heine-Str., Rosenweg, Grüner Weg, 3. BA: Schweriner Str., 
Wasserstr./Postweg, Bahnhofstr. im TA Lindenplatz - F.-Reuter-
Str.",2007,"1,473,200.00"
Hansestadt Wismar ,Energetische Sanierung der Bausubstanz der KiTa Sonnenschein,2008,"1,444,081.67"
Land Mecklenburg-Vorpommern ,M-V Marketing,2008,"1,440,453.67"
Universität Rostock Medizinische Fakultät,"1. Regenerative Medizin 2. Interdisziplinäres Forschungsprogramm
zur Stärkung wirtschafsnaher Koopearionen",2008,"1,433,680.00"
LINDAL Dispenser GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Ventilen, 
Sprühköpfen und Kappen für Aerosol-Produkte in 23923 
Schönberg, Technology Straße 2, Landkreis 
Nordwestmecklenburg",2007,"1,431,000.00"
SNT Greifswald GmbH ,"Erweiterung einer Betriebsstätte zur Erbringung von telefonischen 
Dienstleistungen (Call Center) in 17489 Greifswald, Gützkower 
Landstraße 36-40, kreisfreie Stadt",2007,"1,409,200.00"
Golfplatz Korswandt GmbH ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Golfplatz 
Korswandt) in 17419 Korswandt, Hauptstr. 10, Landkreis 
Ostvorpommern",2008,"1,386,700.00"
Landwerthof Stahlbrode GmbH & Co. KG ,"Errichtung einer Betriebsstätte zur Herstellung und Vermarktung 
von Nahrungsmitteln in 18519 Reinberg, OT Stahlbrode, Lange-
Hof 32, Landkreis Nordvorpommern",2008,"1,382,500.00"
Ingo Jaich ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (Marina 
""Lauterbach) in 18581 Putbus, OT Lauterbach, Am Yachthafen 1, 
Landkreis Rügen",2008,"1,359,500.00"
Landeshauptstadt Schwerin,"Schosspromenade Abschnitt 2b an der Graf-Schack-Allee von der 
Einmündung der Mecklenburgstraße bis zur Geschwister-Scholl-
Straße",2008,"1,352,178.82"
Land Mecklenburg-Vorpommern ,Ingenieur- und Planungskosten A20 DEGES,2007,"1,350,000.00"
Evers & Co. Standard Aggregatebau KG ,"Erweiterung einer Betriebsstätte mit dem überwiegenden 
Geschäftsgegenstand der Herstellung von 
Stromerzeugungsanlagen in 18069 Rostock, Alter Hafen Süd 6, 
Hansestadt Rostock",2007,"1,289,900.00"
Jürgen Wauer ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
18586 Ostseebad Baabe, Strandstr. 31, Landkreis Rügen",2007,"1,228,000.00"
Universität Greifswald Medizinische Fakultät,"1. Forschungsdepartment Community Medicine 2. 
Forschungsschwerpunkt Unterstützung von klinisch- theoretischen 
Forschungsgruppen",2008,"1,209,662.00"
PTS-precision GmbH ,"Errichtung einer Betriebsstätte zur Herstellung von 
Präzisionsdrehteilen in 19061 Schwerin, Fährweg, Industriepark 
""Göhrener Tannen"", Landeshauptstadt Schwerin",2008,"1,200,000.00"
VISIOTEX GmbH ,"Errichtung einer Betriebsstätte zur Entwicklung und Herstellung 
von technischen Textilien in 23966 Hansestadt Wismar, Alter 
Holzhafen 15, kreisfrei",2007,"1,200,000.00"
Ostseeperle Glowe GmbH & Co. KG ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Hotel 
""Ostseeperle"") in 18551 Glowe, Hauptstraße 65, Landkreis Rügen",2007,"1,179,600.00"
Universität Rostock Medizinische Fakultät,"1. SFB Transregio, 2. Forschungslabor der Klinik und Poliklinik für 
Orthopädie im Rahmen des Forschungsschwerpunkts 
""Regenerative Medizin""",2008,"1,165,000.00"
Stadt Barth,"Schmutzwasserkanalisation Barth 2008 - 2009,
1. - 5. BA",2008,"1,153,500.00"
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Neustrelitz",Kosten für Leistungen von Architekten und Ingenieuren,2008,"1,130,708.05"
Natur- und Umweltpark (NUP) Güstrow gGmbH,Neubau einer Luchs- und Wildkatzenanlage,2008,"1,109,443.00"
Golfpark Strelasund GmbH & Co. KG ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (Golfanlage
mit Clubhotel) in 18516 Süderholz, Kaschow 1b, Landkreis 
Nordvorpommern",2008,"1,102,500.00"
Stadt Dassow im Amt Schönberger Land,"Erweiterung des Gewerbegebietes ""Holmer Berg"", 3. Bauabschnitt 
in Dassow",2007,"1,074,912.25"
Krüger + Voigt Logistikdienste GmbH ,"Erweiterung einer Betriebsstätte zur Erbringung von logistischen 
Dienstleistungen in 19370 Parchim, Schwarzer Weg 6, Landkreis 
Parchim",2008,"1,057,900.00"
Abwasserzweckverband Körkwitz,"Schmutzwasserkanalisation Ribnitz-Damgarten
2007 - 2009",2007,"1,043,700.00"
Jackon GmbH,"„Rezeptur- / Prozeßentwicklung für EPS, XPS und Spezial-
Polymere auf der Basis von Nanotechnologien“",2008,"1,039,330.00"
"Colortower GmbH (Betriebsgesellschaft) Marcus 
Becker (Besitzgesellschaft)","Errichtung einer Betriebsstätte zur Herstellung von 
Druckerzeugnissen in 17098 Friedland, Zur Pferdehutung 3, 
Landkreis Mecklenburg-Strelitz",2007,"1,033,700.00"
Frank Römer Hotel Seeklause,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel 
Seeklause) in 17449 Trassenheide, Bahhofstraße 89, Landkreis 
Ostvorpommern",2007,"1,026,500.00"
DOT GmbH,„Geweberegenerationsmaterialien“,2008,"1,000,390.00"
Universität Greifswald Medizinische Fakultät,"1. Forschungsschwerpunkt Molekulare Medizin, 2. 
Forschungsdepartment Community Medicine",2008,"997,076.27"
Kampen GmbH & Co. KG ,"Erweiterung einer Betriebsstätte zur Erbringung von 
Dienstleistungen im Veranstaltungssektor in 19306 Neustadt-
Glewe, An der Autobahn 14-16, Landkreis Ludwigslust",2008,"994,700.00"
Zoologischer Garten Schwerin gGmbH ,Neubau einer Nashornanlage im Zoo Schwerin,2008,"980,100.00"
"Maschinen- und Antriebstechnik Maschinenbau 
GmbH & Co. KG","Erweiterung einer Betriebsstätte des Maschinenbaus in 18273 
Güstrow, Glasewitzer Chaussee 29, Landkreis Güstrow",2008,"968,800.00"
Eisbär Eis Produktions GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Speiseeiserzeugnissen in 18230 Plummendorf, Westring 1, 
Landkreis Nordvorpommern",2008,"964,800.00"
Ingo Jaich ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Marina 
""Naturhafen Gustower Wiek"") in 18547 Gustow, OT Drigge, Drigge 
Hafen, Landkreis Rügen.",2008,"963,000.00"
"Ahaus Immobilien GmbH (Besitzgesell.) 
Prinzenpalais Bad Doberan GmbH 
(Betriebsgesell.)","Errichtung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
18209 Bad Doberan, Alexandrinenplatz 8, Landkreis Bad Doberan",2007,"930,500.00"
S. & S. Baugesellschaft Forum GmbH ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel 
Maritim Kaiserhof) in 17424 Seebad Heringsdorf, 
Strandpromenade, Landkreis Ostvorpommern",2007,"909,600.00"
"A & T Software-Architektur und Technologie 
GmbH","Errichtung einer Betriebsstätte zur Entwicklung von 
Softwareprodukten in 18184 Roggentin, Konrad-Zuse-Straße 1 a, 
Landkreis Bad Doberan",2007,"900,600.00"
Liebherr-MCCtec Rostock GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Kranen und 
Maschinen für Einsätze im Bereich der Hebe- und Fördertechnik 
sowie des Güterumschlags in 18147 Rostock, Liebherrstraße 1, 
kreisfreie Hansestadt Rostock",2007,"899,800.00"
"Hospize-Betriebs-Gesell. mbH (Besitzgesell.) 
BEGA Hotel Betriebsgesell. mbH 
(Betriebsgesell.)","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Pension) 
in 17424 Seebad Heringsdorf, Badstr. 11, Landkreis 
Ostvorpommern",2008,"898,400.00"
